method,path,authentication,permission,property_and_restaurant_scope,csrf,rate_limit,input_model_and_parameters,output_model,handler_calls_side_effect_hints,audit_event,handler,source
GET,/api/admin/permissions,Admin session cookie required.,roles.view,"Global or actor-property scope enforced by the handler/auth store. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,No request body or path/query parameters documented.,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,list_admin_permissions,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties,Admin session cookie required.,properties.view,"Global or actor-property scope enforced by the handler/auth store. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,No request body or path/query parameters documented.,dict (handler-defined shape),properties.list,No admin audit event identified at route boundary; domain/helper events may apply.,list_properties,app/main.py route + middleware + app/admin_route_policies.json
DELETE,/api/admin/properties/{property_id},Admin session cookie required.,properties.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),properties.delete,middleware: api.delete on successful response (<400),delete_property,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id},Admin session cookie required.,properties.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),properties.get,No admin audit event identified at route boundary; domain/helper events may apply.,get_property,app/main.py route + middleware + app/admin_route_policies.json
PUT,/api/admin/properties/{property_id},Admin session cookie required.,properties.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,"Body application/json: PropertyPayload: property_id:string [1..80, pattern=^[a-zA-Z0-9][a-zA-Z0-9_-]*$] required; hotel_name:string [1..200] required; description:string default=; domain:string default=; deployment_mode:string [pattern=^(on-prem|cloud|hybrid|edge)$] default=on-prem; timezone:string default=UTC; latitude:number | null; longitude:number | null; address:string default=; contact_details:object[any]; logo_url:string default=; brand_assets:object[any]; concierge_name:string default=Concierge; concierge_avatar_url:string default=; primary_color:string default=#171717; secondary_color:string default=#f4f3ef; background:string default=; languages:array[string]; facilities:array[object[any]]; dining:array[object[any]]; spa:object[any]; pool:object[any]; gym:object[any]; policies:array[object[any]]; support_contacts:array[object[any]]; quick_actions:array[object[any]]; ai_settings:object[any]; antlabs_config:object[any]; knowledge_sources:array[object[any]]; rooms:array[object[any]]; guest_modules:array[object[any]]; personality:object[any]; guardrails:object[any]; app_settings:object[any]; welcome:string default=How can I help? (required body); property_id(path):string required",dict (handler-defined shape),properties.get,middleware: api.put on successful response (<400),upsert_property,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/access-points,Admin session cookie required.,properties.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: GenericPayload: data:object[any] (required body); property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),create_access_point,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/ai,Admin session cookie required.,ai.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),properties.get,No admin audit event identified at route boundary; domain/helper events may apply.,get_property_ai,app/main.py route + middleware + app/admin_route_policies.json
PUT,/api/admin/properties/{property_id}/ai/providers/{provider_id},Admin session cookie required.,ai.configure,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: AIProviderPayload: enabled:boolean default=False; auth_method:string | null; selected_model:string | null; endpoint_url:string default=; temperature:number [0.0..2.0] default=0.2; max_output_tokens:integer [1.0..32000.0] default=160; timeout_seconds:integer [1.0..300.0] default=45; config:object[any] (required body); property_id(path):string required; provider_id(path):string required,dict (handler-defined shape),properties.get,middleware: api.put on successful response (<400),save_property_ai_provider,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/ai/providers/{provider_id}/credentials,Admin session cookie required.,ai.configure,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: CredentialPayload: credential_type:string [1..80] default=api_key; value:string [1..8000] required (required body); property_id(path):string required; provider_id(path):string required,dict (handler-defined shape),properties.get,middleware: api.post on successful response (<400),save_property_ai_credential,app/main.py route + middleware + app/admin_route_policies.json
DELETE,/api/admin/properties/{property_id}/ai/providers/{provider_id}/credentials/{credential_type},Admin session cookie required.,ai.configure,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required; provider_id(path):string required; credential_type(path):string required,dict (handler-defined shape),properties.get,middleware: api.delete on successful response (<400),delete_property_ai_credential,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/ai/providers/{provider_id}/models/refresh,Admin session cookie required.,ai.configure,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required; provider_id(path):string required,dict (handler-defined shape),properties.get,middleware: api.post on successful response (<400),refresh_property_ai_models,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/ai/providers/{provider_id}/test,Admin session cookie required.,ai.configure,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required; provider_id(path):string required,dict (handler-defined shape),properties.get,middleware: api.post on successful response (<400),test_property_ai_provider,app/main.py route + middleware + app/admin_route_policies.json
PUT,/api/admin/properties/{property_id}/ai/settings,Admin session cookie required.,ai.configure,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: AISettingsPayload: default_provider:string | null; organization_default_provider:string | null; routing_mode:string | null; local_only:boolean | null; fallback_chain:array[string] | null; limits:object[any] | null (required body); property_id(path):string required,dict (handler-defined shape),properties.get,middleware: api.put on successful response (<400),save_property_ai_settings,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/ai/usage,Admin session cookie required.,ai.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required; days(query):integer default=7,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,property_ai_usage,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/antlabs/status,Admin session cookie required.,integrations.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,antlabs_status,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/antlabs/test,Admin session cookie required.,integrations.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),test_antlabs_connection,app/main.py route + middleware + app/admin_route_policies.json
DELETE,/api/admin/properties/{property_id}/assistant/conversation,Admin session cookie required.,assistant.use,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: AssistantConversationPayload: conversation_id:string [16..80] required (required body); property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.delete on successful response (<400),clear_operations_assistant,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/assistant/hotel-chat,Admin session cookie required.,assistant.use,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: HotelAssistantPayload: question:string [2..1200] required (required body); property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,explicit: assistant.hotel_chat; middleware: api.post on successful response (<400),admin_hotel_assistant,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/assistant/query,Admin session cookie required.,assistant.use,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: AssistantQueryPayload: question:string [2..1200] required; period:string [pattern=^(1h|6h|24h|7d|30d|today|yesterday)$] default=24h; current_page:string [−∞..80] default=overview; conversation_id:string | null [−∞..80] (required body); property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,"explicit: assistant.copilot_provider_failure, assistant.diagnostic; middleware: api.post on successful response (<400)",operations_assistant,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/buildings,Admin session cookie required.,properties.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: GenericPayload: data:object[any] (required body); property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),create_building,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/conversations,Admin session cookie required.,conversations.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,property_conversations,app/main.py route + middleware + app/admin_route_policies.json
PUT,/api/admin/properties/{property_id}/conversations/retention,Admin session cookie required.,conversations.reply,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: ConversationRetentionPayload: retention_days:integer [1.0..365.0] required (required body); property_id(path):string required,dict (handler-defined shape),store.set_retention,middleware: api.put on successful response (<400),update_conversation_retention,app/main.py route + middleware + app/admin_route_policies.json
PUT,/api/admin/properties/{property_id}/conversations/{session_id},Admin session cookie required.,conversations.reply,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: ConversationStatePayload: status:string [pattern=^(open|closed|escalated)$] required; human_takeover:boolean default=False (required body); property_id(path):string required; session_id(path):string required,dict (handler-defined shape),"store.accept_conversation, store.resolve_conversation, store.return_conversation_to_ai, store.set_conversation_state",middleware: api.put on successful response (<400),update_conversation_state,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/conversations/{session_id}/accept,Admin session cookie required.,conversations.takeover,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required; session_id(path):string required,dict (handler-defined shape),store.accept_conversation,middleware: api.post on successful response (<400),accept_restaurant_conversation,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/conversations/{session_id}/assign,Admin session cookie required.,conversations.assign,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: ConversationAssignPayload: user_id:string [1..80] required (required body); property_id(path):string required; session_id(path):string required,dict (handler-defined shape),store.assign_conversation,middleware: api.post on successful response (<400),assign_restaurant_conversation,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/conversations/{session_id}/messages,Admin session cookie required.,conversations.reply,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: StaffReplyPayload: message:string [1..2000] required (required body); property_id(path):string required; session_id(path):string required,dict (handler-defined shape),"store.get, store.reply_to_conversation",middleware: api.post on successful response (<400),staff_conversation_reply,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/conversations/{session_id}/resolve,Admin session cookie required.,conversations.resolve,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required; session_id(path):string required,dict (handler-defined shape),store.resolve_conversation,middleware: api.post on successful response (<400),resolve_restaurant_conversation,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/conversations/{session_id}/return-to-ai,Admin session cookie required.,conversations.return_to_ai,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required; session_id(path):string required,dict (handler-defined shape),store.return_conversation_to_ai,middleware: api.post on successful response (<400),return_restaurant_conversation_to_ai,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/dashboard,Admin session cookie required.,dashboard.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,property_dashboard,app/main.py route + middleware + app/admin_route_policies.json
PUT,/api/admin/properties/{property_id}/departments,Admin session cookie required.,properties.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: GenericPayload: data:object[any] (required body); property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.put on successful response (<400),save_department,app/main.py route + middleware + app/admin_route_policies.json
DELETE,/api/admin/properties/{property_id}/departments/{department_id},Admin session cookie required.,properties.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required; department_id(path):string required,dict (handler-defined shape),hospitality.delete_department,middleware: api.delete on successful response (<400),delete_department,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/deployment/status,Admin session cookie required.,domains.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,property_deployment_status,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/deployment/verify,Admin session cookie required.,domains.configure,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),verify_property_deployment,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/design,Admin session cookie required.,concierge.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),properties.get,No admin audit event identified at route boundary; domain/helper events may apply.,get_property_design,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/design/discard,Admin session cookie required.,concierge.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),properties.get,middleware: api.post on successful response (<400),discard_property_design,app/main.py route + middleware + app/admin_route_policies.json
PUT,/api/admin/properties/{property_id}/design/draft,Admin session cookie required.,concierge.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: DesignConfigPayload: config:object[any] required (required body); property_id(path):string required,dict (handler-defined shape),properties.save_design_draft,middleware: api.put on successful response (<400),save_property_design_draft,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/design/publish,Admin session cookie required.,concierge.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),properties.publish_design,middleware: api.post on successful response (<400),publish_property_design,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/design/restore,Admin session cookie required.,concierge.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: RestoreDesignPayload: version:integer required (required body); property_id(path):string required,dict (handler-defined shape),properties.restore_design_version,middleware: api.post on successful response (<400),restore_property_design,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/events,Admin session cookie required.,properties.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: GenericPayload: data:object[any] (required body); property_id(path):string required,dict (handler-defined shape),hospitality.create_event,middleware: api.post on successful response (<400),create_hotel_event,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/facilities,Admin session cookie required.,properties.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: GenericPayload: data:object[any] (required body); property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),create_facility,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/feedback,Admin session cookie required.,requests.manage,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: GenericPayload: data:object[any] (required body); property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),add_guest_feedback,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/floor-maps/{map_id}/asset,Admin session cookie required.,properties.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required; map_id(path):string required,FileResponse (handler-selected file/media type),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,floor_map_asset,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/floors,Admin session cookie required.,properties.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: GenericPayload: data:object[any] (required body); property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),create_floor,app/main.py route + middleware + app/admin_route_policies.json
POST,/api/admin/properties/{property_id}/floors/{floor_id}/maps,Admin session cookie required.,properties.edit,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",Yes; X-CSRF-Token must match the admin session token.,300 per authenticated admin session/min,Body application/json: UploadPayload: filename:string [1..220] required; content_type:string [1..120] required; content_base64:string [1..∞] required; width:number | null; height:number | null (required body); property_id(path):string required; floor_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,middleware: api.post on successful response (<400),upload_floor_map,app/main.py route + middleware + app/admin_route_policies.json
GET,/api/admin/properties/{property_id}/guardrails,Admin session cookie required.,security.view,"Property `{property_id}`; middleware verifies actor access; handler checks addressed resource IDs. Not restaurant-scoped, or restaurant list filtered by actor assignment.",No (safe method).,300 per authenticated admin session/min,property_id(path):string required,dict (handler-defined shape),No direct app-store call identified; inspect handler/helper.,No admin audit event identified at route boundary; domain/helper events may apply.,get_property_guardrails,app/main.py route + middleware + app/admin_route_policies.json
